"","Sigla","COLABORADOR","PERMANENTE","VISITANTE","Total","Código CAPES","Nome","Instituição"
"1","CEFET/RJ-A-4-EMTM",1.41666666666667,15.5833333333333,0,17,"31022014003P7","ENGENHARIA MECÂNICA E TECNOLOGIA DE MATERIAIS","CENTRO FEDERAL DE EDUCAÇÃO TECN. CELSO SUCKOW DA FONSECA"
"2","FEEVALE-P-5-TMPI",3.5,11.1666666666667,0.0833333333333333,14.75,"42041015003P5","TECNOLOGIA DE MATERIAIS E PROCESSOS INDUSTRIAIS","UNIVERSIDADE FEEVALE"
"3","FUFPI-A-6-CM",0.916666666666667,16.8333333333333,0.333333333333333,18.0833333333333,"21001014024P6","CIÊNCIA DOS MATERIAIS","FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ"
"4","IFBA-P-3-EM",0.333333333333333,6.08333333333333,0,6.41666666666667,"28010019066P5","ENGENHARIA DE MATERIAIS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
"5","PUC/SP-?-?-BMR",0.833333333333333,3.5,0,4.33333333333333,"33005010047P9","BIOMATERIAIS E MEDICINA REGENERATIVA","PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO"
"6","UCS-A-6-M",3.83333333333333,10.6666666666667,0.25,14.75,"42008018006P1","MATERIAIS","UNIVERSIDADE DE CAXIAS DO SUL"
"7","UESC-A-4-CIMM",3.66666666666667,13.3333333333333,0.333333333333333,17.3333333333333,"28007018012P5","CIÊNCIA, INOVAÇÃO E MODELAGEM EM MATERIAIS","UNIVERSIDADE ESTADUAL DE SANTA CRUZ"
"8","UEZO-P-3-CTM",3.16666666666667,14.6666666666667,0,17.8333333333333,"31088015001P3","CIÊNCIA E TECNOLOGIA DE MATERIAIS","CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE                 "
"9","UFAL-A-4-M",2.75,12.4166666666667,0.666666666666667,15.8333333333333,"26001012028P5","MATERIAIS","UNIVERSIDADE FEDERAL DE ALAGOAS"
"10","UFAM-A-4-CEM",1.91666666666667,14.6666666666667,0.333333333333333,16.9166666666667,"12001015035P2","CIÊNCIA E ENGENHARIA DE MATERIAIS","UNIVERSIDADE FEDERAL DO AMAZONAS"
"11","UFC-A-5-ECM",5,15.5,1,21.5,"22001018034P4","ENGENHARIA E CIÊNCIA DE  MATERIAIS","UNIVERSIDADE FEDERAL DO CEARÁ"
"12","UFCAT-A-4-CET",0.583333333333333,4.41666666666667,0.25,5.25,"52059006001P8","CIÊNCIAS EXATAS E TECNOLÓGICAS","UNIVERSIDADE FEDERAL DE CATALÃO"
"13","UFERSA-A-4-CEM",3.58333333333333,10.1666666666667,0.25,14,"23003014051P1","CIÊNCIA E ENGENHARIA DE MATERIAIS","UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO"
